Serial Number of system during year	Basin of origin	Name	Date (DD/MM/YYYY)	Time (UTC)	Latitude (lat.)	Longitude (lon.)	"CI No [or ""T. No""]"	"Estimated Central Pressure (hPa) [or ""E.C.P""]"	Maximum Sustained Surface Wind (kt) 	"Pressure Drop (hPa)[or ""delta P""]"	Grade (text)	Outermost closed isobar (hPa)	Diameter/Size of outermost closed isobar (in degree)
1_1982	BOB		01/05/1982	0300	14.0	82.5	1.5		25.0	3.0	D		
1_1982	BOB		01/05/1982	0600	14.5	82.5	2.0		30.0	5.0	DD		
1_1982	BOB		01/05/1982	1200	15.0	82.0	2.5		35.0	6.0	CS		
1_1982	BOB		01/05/1982	1800	15.5	82.5	2.5		40.0	8.0	CS		
1_1982	BOB		02/05/1982	0000	16.0	83.0	3.0		45.0	10.0	CS		
1_1982	BOB		02/05/1982	0300	16.5	83.5	3.0		45.0	10.042650267804008	CS		
1_1982	BOB		02/05/1982	0600	16.5	84.0	3.5		50.0	12.398333663955565	SCS		
1_1982	BOB		02/05/1982	1200	16.5	84.5	3.5		55.0	15.001983733386234	SCS		
1_1982	BOB		02/05/1982	1800	17.0	85.0	3.5		55.0	15.001983733386234	SCS		
1_1982	BOB		03/05/1982	0000	17.0	86.0	3.5		60.0	17.853600476096013	SCS		
1_1982	BOB		03/05/1982	0300	17.0	86.5	4.0		65.0	20.953183892084905	VSCS		
1_1982	BOB		03/05/1982	0600	17.5	87.5	4.5		80.0	31.73973417972625	VSCS		
1_1982	BOB		03/05/1982	1200	17.5	88.5	5.0		90.0	40.17060107121603	ESCS		
1_1982	BOB		03/05/1982	1800	17.5	90.0	5.5		105.0	54.67665145804404	ESCS		
1_1982	BOB		04/05/1982	0000	17.5	91.0	6.0		115.0	65.58718508232494	ESCS		
1_1982	BOB		04/05/1982	0300	17.5	91.5	6.0		115.0	65.58718508232494	ESCS		
1_1982	BOB		04/05/1982	0600	17.5	92.0	6.0		115.0	65.58718508232494	ESCS		
1_1982	BOB		04/05/1982	1200	17.5	93.5	6.0		115.0	65.58718508232494	ESCS		
1_1982	BOB		04/05/1982		CROSSED ARAKON COAST AROUND 1800 UTC OF 4TH MAY 1982 NEAR 17.40N 94.30E								
1_1982	BOB		04/05/1982	1800	17.3	94.5	-		115.0	65.58718508232494	VSCS		
1_1982	BOB		05/05/1982	0300	17.2	98.5	-		30.0	4.463400119024003	DD		
1_1982	BOB		05/05/1982	1200	Weakend into WML over Thailand centre 17.5/88.5								
2_1982	BOB		31/05/1982	1200	14.5	91.5	1.5	990.0	25.0	3.0995834159888913	D		
2_1982	BOB		31/05/1982	1800	19.0	91.3	2.0	988.0	30.0	4.463400119024003	DD		
2_1982	BOB		01/06/1982	0000	15.5	91.0	2.5	986.0	35.0	6.075183495338227	CS		
2_1982	BOB		01/06/1982	0300	16.0	91.0	2.5	984.0	40.0	7.934933544931562	CS		
2_1982	BOB		01/06/1982	0600	16.5	91.0	2.5	984.0	40.0	7.934933544931562	CS		
2_1982	BOB		01/06/1982	1200	16.5	90.5	2.5	984.0	40.0	7.934933544931562	CS		
2_1982	BOB		01/06/1982	1800	17.0	90.0	2.5	984.0	40.0	7.934933544931562	CS		
2_1982	BOB		02/06/1982	0000	19.0	88.5	2.5	984.0	40.0	7.934933544931562	CS		
2_1982	BOB		02/06/1982	0300	17.5	89.5	3.0	982.0	45.0	10.042650267804008	CS		
2_1982	BOB		02/06/1982	0600	17.5	89.5	3.5	982.0	45.0	10.042650267804008	CS		
2_1982	BOB		02/06/1982	1200	18.0	89.0	3.0	982.0	45.0	10.042650267804008	SCS		
2_1982	BOB		02/06/1982	1800	18.5	88.5	3.0	979.0	50.0	13.0	SCS		
2_1982	BOB		03/06/1982	0000	19.0	88.5	3.5	976.0	55.0	16.0	SCS		
2_1982	BOB		03/06/1982	0300	19.0	88.0	4.0	972.0	65.0	22.0	VSCS		
2_1982	BOB		03/06/1982	0600	19.5	87.5	4.5	960.0	80.0	31.73973417972625	VSCS		
2_1982	BOB		03/06/1982	0900	19.5	87.5	5.0	952.0	90.0	40.17060107121603	ESCS		
2_1982	BOB		03/06/1982	1200	20.0	87.0	5.0	952.0	90.0	40.0	ESCS		
2_1982	BOB		03/06/1982	1800	21.0	86.5	5.0	952.0	90.0	40.17060107121603	ESCS		
2_1982	BOB		04/06/1982	0000	21.5	86.0	4.0	970.0	65.0	22.0	VSCS		
2_1982	BOB		04/06/1982	0300	22.0	85.5	3.0	982.0	45.0	10.0	CS		
2_1982	BOB		04/06/1982	0600	22.5	85.0	2.5	986.0	35.0	6.0	CS		
2_1982	BOB		04/06/1982	1200	23.0	84.0	2.0	988.0	30.0	4.463400119024003	DD		
2_1982	BOB		04/06/1982	1800	24.0	82.5	2.0	988.0	30.0	4.463400119024003	DD		
2_1982	BOB		05/06/1982	0000	24.5	81.0	1.5	990.0	25.0	3.0	D		
2_1982	BOB		05/06/1982	0300	25.0	81.5	1.5	991.0	20.0	3.0	D		
2_1982	BOB		05/06/1982	1200	WEAKENED INTO A WML OVER WEST UP .SYSTEM CROSSED COAST NORTH OF PARADIP ON 3 JUNE EVENING								
3_1982	LAND		17/06/1982	0300	23.0	90.0			25.0	3.0	D		
3_1982	LAND		17/06/1982	1200	23.5	90.5			25.0	3.0	D		
3_1982	LAND		18/06/1982	0300	25.0	92.0			25.0	3.0	D		
3_1982	LAND		18/06/1982	1200	WEAKENED INTO A WML OVER ASSAM AND MEGHALAYA								
4_1982	ARB		15/07/1982	0300	20.5	69.0	1.5		25.0	3.0	D		
4_1982	ARB		15/07/1982	1200	21.0	68.0	1.5		25.0	3.0	D		
4_1982	ARB		16/07/1982	0300	22.5	67.0	1.5		25.0	3.0	D		
4_1982	ARB		16/07/1982	1200	WEAKENED INTO A WML OVER NORTHEAST ARABAIAN SEA								
5_1982	BOB		18/07/1982	0300	18.0	88.0	1.5		25.0	4.0	D		
5_1982	BOB		18/07/1982	1200	18.3	87.0	2.0		30.0	5.0	DD		
5_1982	BOB		18/07/1982	1800	18.4	86.5	2.0		30.0	5.0	DD		
5_1982	BOB		19/07/1982	0000	18.5	86.0	2.0		30.0	5.0	DD		
5_1982	BOB		19/07/1982	0300	18.5	86.0	2.0		30.0	5.0	DD		
5_1982	BOB		19/07/1982	0600	18.7	85.8	2.0		30.0	5.0	DD		
5_1982	BOB		19/07/1982	1200	19.0	85.5	1.5		25.0	4.0	D		
